"Word","Pinyin","OtherPinyin","Level","First Translation","Other Translations"
"再","zài","","1","again","once more, re-, second, another, then (after sth, and not until then), no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis)"
"書","shū","","1","book","letter, document, to write, abbr. for 書經|书经[Shu1 jing1], CL:本[ben3],冊|册[ce4],部[bu4]"
"電影","diànyǐng","","1","movie","film, CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]"
"以前","yǐqián","","1","before","formerly, previous, ago"
"以後","yǐhòu","","1","after","later, afterwards, following, later on, in the future"
"走","zǒu","","1","to walk","to go, to run, to move (of vehicle), to visit, to leave, to go away, to die (euph.), from, through, away (in compound verbs, such as 撤走[che4 zou3]), to change (shape, form, meaning)"
"等","děng","","1","class","rank, grade, equal to, same as, to wait for, to await, et cetera, and so on, et al. (and other authors), after, as soon as, once"
"看","kàn","","1","to look after","to take care of, to watch, to guard, to see, to look at, to read, to watch, to visit, to call on, to consider, to regard as, to look after, to treat (an illness), to depend on, to feel (that), (after verb) to give it a try, Watch out! (for a danger)"
"什麼","shénme","","1","what?","something, anything"
"朋友","péngyǒu","","1","friend","CL:個|个[ge4],位[wei4]"
"東西","dōngxi","","1","east and west","thing, stuff, person, CL:個|个[ge4],件[jian4]"
"吧","ba","","1","bar (loanword) (serving drinks, or providing Internet access etc)","to puff (on a pipe etc), (onom.) bang, (modal particle indicating suggestion or surmise), ...right?, ...OK?, ...I presume., (onom.) smack!, abbr. for 貼吧|贴吧[tie1 ba1]"
"呢","ne","","1","particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?"")","particle for inquiring about location (""Where is ...?""), particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?""), (at the end of a declarative sentence) particle indicating continuation of a state or action, particle indicating strong affirmation, woolen material"
"嗎","ma","","1","(question particle for ""yes-no"" questions)","see 嗎啡|吗啡, morphine"
"找","zhǎo","","1","to try to find","to look for, to call on sb, to find, to seek, to return, to give change"
"做","zuò","","1","to do","to make, to produce, to write, to compose, to act as, to engage in, to hold (a party), to be, to become, to function (in some capacity), to serve as, to be used for, to form (a bond or relationship), to pretend, to feign, to act a part, to put on appearance"
"再見","zàijiàn","","1","goodbye","see you again later"
"怎麼樣","zěnmeyàng","","1","how?","how about?, how was it?, how are things?"
"叫","jiào","","1","to shout","to call, to order, to ask, to be called, by (indicates agent in the passive mood), variant of 叫[jiao4]"
"謝謝","xièxie","","1","to thank","thanks, thank you"
"對不起","duìbuqǐ","","1","unworthy","to let down, I'm sorry, excuse me, pardon me, if you please, sorry? (please repeat)"
"請問","qǐngwèn","","1","Excuse me, may I ask...?",""
"這","zhè","","1","this","these, (commonly pr. [zhei4] before a classifier, esp. in Beijing)"
"那","nà","","1","that","those, then (in that case), commonly pr. [nei4] before a classifier, esp. in Beijing, beautiful, how, surname Na, surname Nuo, variant of 哪[na3], (archaic) many, old variant of 挪[nuo2]"
"公共汽車","gōnggòngqìchē","","1","bus","CL:輛|辆[liang4],班[ban1]"
"到","dào","","1","to (a place)","until (a time), up to, to go, to arrive, (verb complement denoting completion or result of an action)"
"去","qù","","1","to go","to go to (a place), (of a time etc) last, just passed, to send, to remove, to get rid of, to reduce, to be apart from in space or time, to die (euphemism), to play (a part), (when used either before or after a verb) to go in order to do sth, (after a verb of motion indicates movement away from the speaker), (used after certain verbs to indicate detachment or separation)"
"回","huí","","1","to circle","to go back, to turn around, to answer, to return, to revolve, Hui ethnic group (Chinese Muslims), time, classifier for acts of a play, section or chapter (of a classic book), to curve, to return, to revolve, variant of 迴|回[hui2]"
"坐","zuò","","1","to sit","to take a seat, to take (a bus, airplane etc), to bear fruit, surname Zuo, variant of 座[zuo4]"
"開車","kāichē","","1","to drive a car",""
"錢","qián","","1","coin","money, unit of weight, one tenth of a tael 兩|两[liang3], surname Qian, CL:筆|笔[bi3]"
"多少","duōshǎo","","1","number","amount, somewhat, how much, how many, which (number), as much as"
"給","gěi","","1","to","for, for the benefit of, to give, to allow, to do sth (for sb), (grammatical equivalent of 被), (grammatical equivalent of 把), (sentence intensifier), to supply, to provide"
"貴","guì","","1","expensive","noble, precious, (honorific) your"
"便宜","piányi","","1","convenient","cheap, inexpensive, small advantages, to let sb off lightly"
"小","xiǎo","","1","small","tiny, few, young"
"難","nán","","1","difficult (to...)","problem, difficulty, difficult, not good, disaster, distress, to scold"
"容易","róngyì","","1","easy","likely, liable (to)"
"有","yǒu","","1","to have","there is, there are, to exist, to be"
"想","xiǎng","","1","to think","to believe, to suppose, to wish, to want, to miss (feel wistful about the absence of sb or sth)"
"幾","jǐ","","1","almost","how much, how many, several, a few"
"塊","kuài","","1","lump (of earth)","chunk, piece, classifier for pieces of cloth, cake, soap etc, (coll.) classifier for money and currency units"
"飯","fàn","","1","food","cuisine, cooked rice, meal, CL:碗[wan3],頓|顿[dun4]"
"吃","chī","","1","to eat","to consume, to eat at (a cafeteria etc), to eradicate, to destroy, to absorb, to suffer, to stammer (Taiwan pr. for this sense is [ji2]), variant of 吃[chi1]"
"也","yě","","1","also","too, (in Classical Chinese) final particle implying affirmation, surname Ye"
"沒","méi","","1","(negative prefix for verbs)","have not, not, drowned, to end, to die, to inundate"
"都","dōu","","1","all","both, entirely, (used for emphasis) even, already, (not) at all, capital city, metropolis, surname Du"
"只","zhǐ","","1","only","merely, just, but, grain that has begun to ripen, classifier for birds and certain animals, one of a pair, some utensils, vessels etc, variant of 只[zhi3], variant of 衹|只[zhi3], variant of 只[zhi3]"
"可是","kěshì","","1","but","however, (used for emphasis) indeed"
"還是","háishì","","1","or","still, nevertheless, had better"
"了","le","","1","(modal particle intensifying preceding clause)","(completed action marker), to finish, to achieve, to understand clearly, (of eyes) bright, clear-sighted, to understand clearly, variant of 瞭|了[liao3], unofficial variant of 瞭[liao4]"
"過","guò","","1","to cross","to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-, (experienced action marker), surname Guo"
"男","nán","","2","male","Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], CL:個|个[ge4]"
"女","nǚ","","2","female","woman, daughter, archaic variant of 汝[ru3]"
"孩子","háizi","","2","child",""
"小姐","xiǎojiě","","2","young lady","miss, (slang) prostitute, CL:個|个[ge4],位[wei4]"
"先生","xiānshēng","","2","Mister (Mr.)","teacher, husband, doctor (dialect), CL:位[wei4]"
"太太","tàitai","","2","married woman","Mrs., Madam, wife, CL:個|个[ge4],位[wei4]"
"女兒","nǚér","","2","daughter",""
"兒子","érzi","","2","son",""
"大家","dàjiā","","2","everyone","influential family, great expert"
"路","lù","","2","road","journey, route, line (bus etc), sort, kind, surname Lu, CL:條|条[tiao2]"
"手機","shǒujī","","2","cell phone","mobile phone, CL:部[bu4],支[zhi1]"
"號碼","hàomǎ","","2","number","CL:堆[dui1],個|个[ge4]"
"明年","míngnián","","2","next year",""
"去年","qùnián","","2","last year",""
"生日","shēngrì","","2","birthday","CL:個|个[ge4]"
"月","yuè","","2","moon","month, monthly, CL:個|个[ge4],輪|轮[lun2]"
"星期","xīngqí","","2","week","day of the week, Sunday, CL:個|个[ge4]"
"星期天","xīngqítiān","","2","Sunday","CL:個|个[ge4]"
"週末","zhōumò","","2","weekend",""
"從","cóng","","2","from","through, via, to follow, to obey, to engage in (an activity), never (in negative sentence), (Taiwan pr. [zong4]) retainer, assistant, auxiliary, subordinate, related by common paternal grandfather or earlier ancestor, surname Cong"
"笑","xiào","","2","laugh","smile, old variant of 笑[xiao4], CL:個|个[ge4]"
"愛","ài","","2","to love","to be fond of, to like, affection, to be inclined (to do sth), to tend to (happen)"
"好看","hǎokàn","","2","good-looking","nice-looking, good (of a movie, book, TV show etc), embarrassed, humiliated"
"快樂","kuàilè","","2","happy","merry"
"非常","fēicháng","","2","very","very much, unusual, extraordinary"
"工作","gōngzuò","","2","to work","(of a machine) to operate, job, work, task, CL:個|个[ge4],份[fen4],項|项[xiang4]"
"醫生","yīshēng","","2","doctor","CL:個|个[ge4],位[wei4],名[ming2]"
"醫院","yīyuàn","","2","hospital","CL:所[suo3],家[jia1],座[zuo4]"
"公司","gōngsī","","2","(business) company","company, firm, corporation, incorporated, CL:家[jia1]"
"賣","mài","","2","to sell","to betray, to spare no effort, to show off or flaunt"
"準備","zhǔnbèi","","2","preparation","to prepare, to intend, to be about to, reserve (fund)"
"一點","yīdiǎn","","2","a bit","a little, one dot, one point"
"一些","yīxiē","","2","some","a few, a little, (following an adjective) slightly ...er"
"張","zhāng","","2","to open up","to spread, sheet of paper, classifier for flat objects, sheet, classifier for votes, surname Zhang"
"中學","zhōngxué","","2","middle school","CL:個|个[ge4]"
"年級","niánjí","","2","grade","year (in school, college etc), CL:個|个[ge4]"
"英文","yīngwén","","2","English (language)",""
"紙","zhǐ","","2","paper","classifier for documents, letter etc, CL:張|张[zhang1],沓[da2]"
"問題","wèntí","","2","question","problem, issue, topic, CL:個|个[ge4]"
"意思","yìsi","","2","idea","opinion, meaning, wish, desire, interest, fun, token of appreciation, affection etc, to give as a small token, to do sth as a gesture of goodwill etc, CL:個|个[ge4]"
"圖書館","túshūguǎn","","2","library","CL:家[jia1],個|个[ge4]"
"數學","shùxué","","2","mathematics","mathematical"
"歷史","lìshǐ","","2","history","CL:門|门[men2],段[duan4]"
"餐廳","cāntīng","","2","dining hall","dining room, restaurant, CL:間|间[jian1],家[jia1]"
"學習","xuéxí","","2","to learn","to study"
"參加","cānjiā","","2","to participate","to take part, to join"
"畫","huà","","2","to draw","picture, painting, classifier for paintings etc, CL:幅[fu2],張|张[zhang1], variant of 劃|划[hua4]"
"讀","dú","","2","comma","phrase marked by pause, to read, to study, reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]"
"會","huì","","2","can","to be possible, to be able to, will, to be likely to, to be sure to, to assemble, to meet, to gather, to see, union, group, association, a moment (Taiwan pr. for this sense is [hui3]), to balance an account, accountancy, accounting, CL:個|个[ge4]"
"有趣","yǒuqù","","2","interesting","fascinating, amusing"
"為什麼","wèishénme","","2","why?","for what reason?"
"下課","xiàkè","","2","to finish class","to get out of class"
"說話","shuōhuà","","2","to speak","to say, to talk, to gossip, to tell stories, talk, word"
"考試","kǎoshì","","2","to take an exam","exam, CL:次[ci4]"
"懂","dǒng","","2","to understand","to comprehend"
"天氣","tiānqì","","2","weather",""
"房子","fángzi","","2","house","building (single- or two-story), apartment, room, CL:棟|栋[dong4],幢[zhuang4],座[zuo4],套[tao4],間|间[jian1]"
"門","mén","","2","gate","door, gateway, doorway, opening, valve, switch, way to do something, knack, family, house, (religious) sect, school (of thought), class, category, phylum or division (taxonomy), classifier for large guns, classifier for lessons, subjects, branches of technology, (suffix) -gate (i.e. scandal; derived from Watergate), surname Men, CL:扇[shan4], CL:個|个[ge4]"
"山","shān","","2","mountain","hill, anything that resembles a mountain, bundled straw in which silkworms spin cocoons, gable, surname Shan, CL:座[zuo4]"
"客廳","kètīng","","2","drawing room (room for arriving guests)","living room, CL:間|间[jian1]"
"河","hé","","2","river","CL:條|条[tiao2],道[dao4]"
"狗","gǒu","","2","dog","CL:隻|只[zhi1],條|条[tiao2]"
"花","huā","","2","flower","blossom, fancy pattern, florid, to spend (money, time), flower, blossom, also pr. [wei3], surname Hua, CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4], old variant of 花[hua1], variant of 花[hua1]"
"風","fēng","","2","wind","news, style, custom, manner, CL:陣|阵[zhen4],絲|丝[si1]"
"海","hǎi","","2","ocean","sea, great number of people or things, (dialect) numerous, surname Hai, CL:個|个[ge4],片[pian4]"
"魚","yú","","2","fish","surname Yu, CL:條|条[tiao2],尾[wei3]"
"樹","shù","","2","tree","to cultivate, to set up, CL:棵[ke1]"
"冷","lěng","","2","cold","surname Leng"
"熱","rè","","2","to warm up","to heat up, hot (of weather), heat, fervent"
"洗澡","xǐzǎo","","2","to bathe","to take a shower"
"咖啡","kāfēi","","2","coffee (loanword)","CL:杯[bei1]"
"茶","chá","","2","tea","tea plant, CL:杯[bei1],壺|壶[hu2]"
"生活","shēnghuó","","2","life","activity, to live, livelihood"
"用","yòng","","2","to use","to employ, to have to, to eat or drink, expense or outlay, usefulness, hence, therefore"
"穿","chuān","","2","to wear","to put on, to dress, to bore through, to pierce, to perforate, to penetrate, to pass through, to thread"
"起床","qǐchuáng","","2","to get out of bed","to get up"
"方便","fāngbiàn","","2","convenient","suitable, to facilitate, to make things easy, having money to spare, (euphemism) to relieve oneself"
"睡覺","shuìjiào","","2","to go to bed","to sleep"
"常常","chángcháng","","2","frequently","often"
"每","měi","","2","each","every"
"次","cì","","2","next in sequence","second, the second (day, time etc), secondary, vice-, sub-, infra-, inferior quality, substandard, order, sequence, hypo- (chemistry), classifier for enumerated events: time"
"音樂","yīnyuè","","2","music","CL:張|张[zhang1],曲[qu3],段[duan4]"
"票","piào","","2","ticket","ballot, banknote, person held for ransom, amateur performance of Chinese opera, classifier for groups, batches, business transactions, CL:張|张[zhang1]"
"照片","zhàopiàn","","2","photograph","picture, CL:張|张[zhang1],套[tao4],幅[fu2]"
"玩","wán","","2","to play","to have fun, to trifle with, toy, sth used for amusement, curio or antique (Taiwan pr. [wan4]), to keep sth for entertainment, Taiwan pr. [wan4], variant of 玩[wan2]"
"跑","pǎo","","2","(of an animal) to paw (the ground)","to run, to run away, to escape, to run around (on errands etc), (of a gas or liquid) to leak or evaporate, (verb complement) away, off"
"運動","yùndòng","","2","to move","to exercise, sports, exercise, motion, movement, campaign, CL:場|场[chang3]"
"開始","kāishǐ","","2","to begin","beginning, to start, initial, CL:個|个[ge4]"
"走路","zǒulù","","2","to walk","to go on foot"
"唱歌","chànggē","","2","to sing a song",""
"信","xìn","","2","letter","mail, to trust, to believe, to profess faith in, truthful, confidence, trust, at will, at random, CL:封[feng1]"
"喂","wéi","","2","hello (when answering the phone)","hey, to feed (an animal, baby, invalid etc), to feed, variant of 餵|喂[wei4]"
"介紹","jièshào","","2","to introduce (sb to sb)","to give a presentation, to present (sb for a job etc), introduction"
"換","huàn","","2","to exchange","to change (clothes etc), to substitute, to switch, to convert (currency)"
"認識","rènshi","","2","to know","to recognize, to be familiar with, to get acquainted with sb, knowledge, understanding, awareness, cognition"
"沒關係","méiguānxi","","2","it doesn't matter",""
"怎麼","zěnme","","2","how?","what?, why?"
"哪","nǎ","","2","how","which, (particle equivalent to 啊 after noun ending in -n), which? (interrogative, followed by classifier or numeral-classifier)"
"哪裡","nǎlǐ","","2","where?","somewhere, anywhere, wherever, nowhere (negative answer to question), humble expression denying compliment"
"這裡","zhèlǐ","","2","here",""
"那裡","nàlǐ","","2","there","that place"
"外","wài","","2","outside","in addition, foreign, external"
"右邊","yòubiān","","2","right side","right, to the right"
"左邊","zuǒbiān","","2","left","the left side, to the left of"
"旁邊","pángbiān","","2","lateral","side, to the side, beside"
"中間","zhōngjiān","","2","between","intermediate, mid, middle"
"地鐵","dìtiě","","2","subway","metro"
"地方","dìfāng","","2","region","regional (away from the central administration), local, area, place, space, room, territory, CL:處|处[chu4],個|个[ge4],塊|块[kuai4]"
"附近","fùjìn","","2","(in the) vicinity","nearby, neighboring, next to"
"離","lí","","2","to leave","to part from, to be away from, (in giving distances) from, without (sth), independent of, one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire, ☲, surname Li"
"往","wǎng","","2","to go (in a direction)","to, towards, (of a train) bound for, past, previous, old variant of 往[wang3]"
"送","sòng","","2","to deliver","to carry, to give (as a present), to present (with), to see off, to send"
"帶","dài","","2","band","belt, girdle, ribbon, tire, area, zone, region, to wear, to carry, to take along, to bear (i.e. to have), to lead, to bring, to look after, to raise, CL:條|条[tiao2]"
"放","fàng","","2","to put","to place, to release, to free, to let go, to let out, to set off (fireworks)"
"拿","ná","","2","to hold","to seize, to catch, to apprehend, to take, (used in the same way as 把[ba3]: to mark the following noun as a direct object), old variant of 拿[na2], variant of 拿[na2]"
"進來","jìnlái","","2","to come in",""
"出去","chūqù","","2","to go out",""
"站","zhàn","","2","station","to stand, to halt, to stop, branch of a company or organization, website"
"慢","màn","","2","slow",""
"遠","yuǎn","","2","far","distant, remote, (intensifier in a comparison) by far, much (lower etc), to distance oneself from (classical)"
"身體","shēntǐ","","2","the body","one's health, in person, CL:具[ju4],個|个[ge4]"
"眼睛","yǎnjīng","","2","eye","CL:隻|只[zhi1],雙|双[shuang1]"
"藥","yào","","2","medicine","drug, substance used for a specific purpose (e.g. poisoning, explosion, fermenting), to poison, CL:種|种[zhong3],服[fu4],味[wei4]"
"累","lèi","","2","to accumulate","to involve or implicate (Taiwan pr. [lei4]), continuous, repeated, tired, weary, to strain, to wear out, to work hard, rope, to bind together, to twist around, surname Lei"
"雙","shuāng","","2","two","double, pair, both, even (number), surname Shuang"
"元","yuán","","2","the Yuan or Mongol dynasty (1279-1368)","currency unit (esp. Chinese yuan), first, original, primary, fundamental, constituent, part, era (of a reign), meta- (prefix), (math.) argument, variable, (Tw) (geology) eon, surname Yuan"
"鞋子","xiézi","","2","shoe",""
"褲子","kùzi","","2","trousers","pants, CL:條|条[tiao2]"
"市場","shìchǎng","","2","marketplace","market (also in abstract)"
"衣服","yīfu","","2","clothes","CL:件[jian4],套[tao4]"
"比","bǐ","","2","Belgium","Belgian, (particle used for comparison and ""-er than""), to compare, to contrast, to gesture (with hands), ratio, to associate with, to be near, abbr. for 比利時|比利时[Bi3 li4 shi2], euphemistic variant of 屄[bi1]"
"要","yào","","2","to demand","to request, to coerce, important, vital, to want, to ask for, will, going to (as future auxiliary), may, must, (used in a comparison) must be, probably, if"
"長","cháng","","2","length","long, forever, always, constantly, chief, head, elder, to grow, to develop, to increase, to enhance"
"新","xīn","","2","new","newly, meso- (chemistry), abbr. for Xinjiang 新疆[Xin1 jiang1] or Singapore 新加坡[Xin1 jia1 po1], surname Xin"
"一樣","yīyàng","","2","same","like, equal to, the same as, just like"
"好吃","hǎochī","","2","tasty","delicious, to be fond of eating, to be gluttonous"
"件","jiàn","","2","item","component, classifier for events, things, clothes etc"
"杯","bēi","","2","cup","trophy cup, classifier for certain containers of liquids: glass, cup, trophy cup, classifier for certain containers of liquids: glass, cup, variant of 杯[bei1], variant of 杯[bei1]"
"瓶","píng","","2","bottle","vase, pitcher, classifier for wine and liquids, CL:個|个[ge4], variant of 瓶[ping2]"
"菜","cài","","2","dish (type of food)","vegetable, cuisine, (coll.) (one's) type, (of one's skills etc) weak, poor, CL:盤|盘[pan2],道[dao4]"
"蘋果","píngguǒ","","2","apple","CL:個|个[ge4],顆|颗[ke1]"
"肉","ròu","","2","meat","flesh, pulp (of a fruit), (coll.) (of a fruit) squashy, (of a person) flabby, irresolute"
"酒","jiǔ","","2","wine (esp. rice wine)","liquor, spirits, alcoholic beverage, CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]"
"喝","hē","","2","to drink","My goodness!, to shout loudly"
"一起","yīqǐ","","2","in the same place","together, with, altogether (in total)"
"因為","yīnwèi","","2","because","owing to, on account of"
"和","hé","","2","Japanese (food, clothes etc)","and, together with, with, sum, union, peace, harmony, Taiwan pr. [han4] when it means ""and"" or ""with"", to compose a poem in reply (to sb's poem) using the same rhyme sequence, to join in the singing, to chime in with others, to complete a set in mahjong or playing cards, to combine a powdery substance (flour, plaster etc) with water, Taiwan pr. [huo4], to mix (ingredients) together, to blend, classifier for rinses of clothes, classifier for boilings of medicinal herbs, harmonious, old variant of 和[he2], surname He, old variant of 和[he2]"
"所以","suǒyǐ","","2","therefore","as a result, so, the reason why"
"跟","gēn","","2","heel","to follow closely, to go with, (of a woman) to marry sb, with, compared with, to, towards, and (joining two nouns)"
"著","zhe","","2","(chess) move","trick, all right!, (dialect) to add, to touch, to come in contact with, to feel, to be affected by, to catch fire, to burn, (coll.) to fall asleep, (after a verb) hitting the mark, succeeding in, aspect particle indicating action in progress, to wear (clothes), to contact, to use, to apply, to make known, to show, to prove, to write, book, outstanding"
"可能","kěnéng","","2","might (happen)","possible, probable, possibility, probability, maybe, perhaps, CL:個|个[ge4]"
"姓名","xìngmíng","","3","name and surname","CL:個|个[ge4]"
"公園","gōngyuán","","3","park (for public recreation)","CL:個|个[ge4],座[zuo4]"
"國家","guójiā","","3","country","nation, state, CL:個|个[ge4]"
"城市","chéngshì","","3","city","town, CL:座[zuo4]"
"街","jiē","","3","street","CL:條|条[tiao2]"
"電子郵件","diàn​zǐ​yóu​jiàn","","3","email","CL:封[feng1],份[fen4]"
"結婚","jiéhūn","","3","to marry","to get married, CL:次[ci4]"
"小時","xiǎoshí","","3","hour","CL:個|个[ge4]"
"點鐘","diǎnzhōng","","3","(indicating time of day) o'clock",""
"分鐘","fēnzhōng","","3","minute",""
"夏天","xiàtiān","","3","summer","CL:個|个[ge4]"
"冬天","dōngtiān","","3","winter","CL:個|个[ge4]"
"秋天","qiūtiān","","3","autumn","CL:個|个[ge4]"
"春天","chūntiān","","3","spring (season)","CL:個|个[ge4]"
"年輕","niánqīng","","3","young",""
"男生","nánshēng","","3","schoolboy","male student, boy, guy (young adult male)"
"女生","nǚshēng","","3","schoolgirl","female student, girl"
"小孩","xiǎohái","","3","child","CL:個|个[ge4]"
